Continent,ISO_code,Cname,ML1,ML3,ML2,ML4,ML5,final_score,rank
Africa,CAF,Central African Republic,3.04223339863767,4.522258833842045,-0.5851266208699433,0.5352290966955305,1.4803748338999292,8.994969542205233,1
Asia,AFG,Afghanistan,1.7852904504250238,3.4843377283737933,-1.0749241595326278,0.8574417745021473,1.0332398698895593,6.085385663657895,2
Africa,TCD,Chad,2.959005982036227,1.3955684350290287,0.02895904876640074,-0.3837783974194788,1.8268132918510807,5.826568360263258,3
Africa,GIN,Guinea,2.4267238918787197,0.8083728997618651,0.2022194075552508,-0.49258478060005667,1.3476623405530663,4.292393759148846,4
Asia,YEM,Yemen,1.256210651910106,1.8821987403511442,-0.7056446475709848,0.09911873541205862,1.6476875300483016,4.179571010150626,5
Africa,MLI,Mali,1.5089047866484884,1.2450705164451095,0.4807252682081491,-0.7674568735760852,1.5031878204163616,3.9704315181420236,6
Africa,AGO,Angola,3.068775985330725,0.6494633355039449,-0.45203713725690536,-0.34132852241551587,0.5220026249900641,3.446876286152313,7
North America,HTI,Haiti,0.9945225543920889,0.45727985057233045,0.2902526193909696,0.6443194503086761,1.022913504682137,3.4092879793462023,8
Europe,MNE,Montenegro,1.0702361127930824,-0.08271000577563395,1.9402160636969359,0.32245002758313196,0.12829850025430206,3.3784906985518184,9
Europe,UKR,Ukraine,-0.04863693007219687,0.8660703524498445,1.9140665363820284,-0.24737495125362183,0.39070628336247,2.8748312908685243,10
Australia,PNG,Papua New Guinea,1.8314408045949278,0.4622298558292872,0.16534821125040483,-0.3174845118485085,0.729255239782763,2.870789599608874,11
Africa,COD,Democratic Republic of the Congo,0.7580617327382784,1.503964067369777,-0.5365030195555627,-0.15567570299876488,1.253010080791623,2.8228571583453506,12
Africa,MDG,Madagascar,2.0516193929131705,0.25152066935339545,-0.719809045117251,0.4227775798270555,0.48623410300843306,2.4923426999848037,13
Africa,ETH,Ethiopia,1.6026188501803464,1.0115038828592775,-1.238298714930235,-8.197731965617974e-4,1.0833428620485075,2.4583471069613347,14
Africa,NGA,Nigeria,1.8082069344591991,1.2190291312361223,-0.9408714657284695,-0.5060622725833979,0.815045066670428,2.395347394053882,15
Asia,PAK,Pakistan,0.6731711844999242,1.2462908376276967,-0.8401967111409933,0.3324196631301746,0.8961404959926935,2.3078254701094956,16
Africa,MRT,Mauritania,0.6138692311350882,0.7997134366941991,-0.10381516699621642,0.023610059797298966,0.9661634547983361,2.299541015428706,17
Africa,CIV,Côte d'Ivoire,0.8783366859411487,0.41733483940276167,0.35699632624962757,0.1756786376001937,0.42053727540055535,2.248883764594287,18
Africa,GAB,Gabon,2.0779592140947813,0.08332628959467048,1.063809762404527,-1.0923133871809365,-0.06352351741895172,2.0692583614940907,19
Europe,BIH,Bosnia and Herzegovina,0.6094714830798348,0.0885040507761351,0.49243409742357813,0.8258624578400472,-0.012692258627379776,2.003579830492215,20
Africa,SDN,Sudan,0.0903215182656083,1.7091802380957835,-0.8422092742941337,-0.05858126580910002,1.0952968655219764,1.9940080817801342,21
Africa,CMR,Cameroon,0.581240670041834,0.6027916202184519,0.1021056066224184,-0.262607837574026,0.9080608598094003,1.9315909191180785,22
Asia,PHL,Philippines,0.9003308774229974,0.5068984733293387,-0.11204438206761606,0.48619879027014534,0.09219884382168425,1.8735826027765496,23
Africa,BDI,Burundi,0.8002670371422791,1.8126864786243586,-1.1076010207038842,-0.5814147394226922,0.9207178136467833,1.8446555692868445,24
Africa,ZAF,South Africa,0.9218693674938899,0.3486983509298228,-0.26605061476255465,0.6544365982241802,0.10662809881792314,1.7655818007032613,25
Africa,NER,Niger,0.9255460911820298,0.8604775355843236,-1.2903859042694643,-0.08018735819544079,1.304604216006585,1.7200545803080332,26
Asia,TLS,Timor-Leste,0.537430791758311,-0.025872759094768716,0.9874572456402995,-0.4045403214223802,0.6002732757884484,1.69474823266991,27
Africa,COG,Congo,1.6560480608703547,0.5352700722130965,0.21776681023232589,-1.1220472076810006,0.37221057544133834,1.6592483110761147,28
Africa,BEN,Benin,1.4531262949889308,0.3756988304725368,-0.14989050091759631,-0.8153227325751498,0.7752315942544956,1.638843486223217,29
Africa,BFA,Burkina Faso,0.44624081877463223,0.4002106603308156,0.3115356811647783,-1.0850374489880974,1.2571947062771454,1.330144417559274,30
Asia,IRQ,Iraq,0.14204585657137972,1.610480335420075,-0.4861187824480519,-0.5508425357421103,0.5672320749881452,1.2827969487894377,31
Africa,TGO,Togo,0.37666793869938936,0.07674461624974815,1.0270049276728994,-1.0469683467935638,0.8032614042653576,1.2367105400938307,32
Europe,RUS,Russian Federation,-0.7278313990852759,0.444545815416763,1.5607504188090093,0.045907179747722446,-0.11690034148504741,1.2064716734031715,33
North America,MEX,Mexico,0.248046336353204,0.5076724732204765,-0.275557033408371,0.5736841393266059,0.07603206286696182,1.129877978358877,34
Asia,MMR,Myanmar,0.36016321622212016,0.8122502374427586,-0.8040811361018675,0.23332800447072422,0.5109247171644019,1.1125850391981373,35
Africa,SLE,Sierra Leone,0.655702916979226,0.2654171906532821,-1.350522105999418,0.5507914712781568,0.9757985915295032,1.0971880644407501,36
South America,PER,Peru,0.008244502769486,-0.21115618856628382,0.33614420164671316,1.1108779669936462,-0.1940924480491333,1.0500180347944281,37
Africa,DJI,Djibouti,0.5075111099674369,0.6005621537994912,-0.6265941045799684,-0.6623669592782742,1.1285007889577992,0.9476129888664845,38
Africa,UGA,Uganda,0.9127593507362143,0.4607403768972873,-0.6831798679106955,-0.49016541629969185,0.704344455691914,0.9044988991150283,39
