Continent,ISO_code,Cname,MCV1_percent_coverage,overall_vaccine_confidence_percent,climate_risk_index,HDI_index_value,percent_refugee_origin_population,measles_incidence_rate_per_100_000,peace_index_score
Asia,NPL,Nepal,0.09999999999999998,0.1100000000000001,0.985981308411215,0.43000000000000005,3e-4,0.06829186588299783,0.3584905660377358
South America,PER,Peru,0.17000000000000004,0.47,0.984392523364486,0.25,1e-4,0,0.3237143914169441
Asia,OMN,Oman,0.010000000000000009,0.19400637440373814,0.29280373831775697,0.18000000000000005,0,0.10666974101514407,0.3226045135035146
Asia,KWT,Kuwait,0.010000000000000009,0.18000000000000005,0,0.19999999999999996,3e-4,0.12446760840341253,0.295227524972253
Asia,KGZ,Kyrgyzstan,0.050000000000000044,0.4099999999999999,0.5498130841121496,0.32999999999999996,4e-4,5.655641066914935e-5,0.4088050314465409
Asia,LBN,Lebanon,0.18000000000000005,0.18999999999999995,0,0.24,8e-4,0.07492745552708399,0.6182019977802441
Africa,LBY,Libya,0.06000000000000005,0.35,0,0.29000000000000004,0.0017000000000000001,0.3679233791150227,0.8201997780244171
Africa,LSO,Lesotho,0.09999999999999998,0.3176075777937312,0,0.48,0,0.12564659204120787,0.3533111357750646
Africa,MLI,Mali,0.32999999999999996,0.51,0,0.5700000000000001,0.008100000000000001,0.18715930200688247,0.5493895671476138
Asia,MMR,Myanmar,0.17000000000000004,0.13,0.4455140186915888,0.42000000000000004,0.0217,0.061682379197682054,0.39511653718091
Asia,MNG,Mongolia,0.010000000000000009,0.42000000000000004,0.13084112149532712,0.26,7.000000000000001e-4,2.5015335488277597e-5,0.2552719200887902
Africa,NAM,Namibia,0.19999999999999996,0.28,0,0.35,6e-4,0.0013638795957521784,0.26896041435442103
Australia,NZL,New Zealand,0.06999999999999995,0.38,0.4423364485981308,0.07999999999999996,0,4.3396168955751137e-4,0.048094709581946025
Asia,KHM,Cambodia,0.16000000000000003,0.20000000000000007,0.14327102803738312,0.42000000000000004,8e-4,0.05740475682918658,0.3529411764705882
Europe,LVA,Latvia,0.040000000000000036,0.72,0.7616822429906542,0.15000000000000002,1e-4,2.93658286166737e-5,0.2068072512023677
North America,MEX,Mexico,0.24,0.17999999999999994,0.4797196261682243,0.22999999999999998,1e-4,0,0.5678875323714391
