Continent,ISO_code,Cname,Year,MCV1_percent_coverage,gain_index_value,urban_percent,measles_incidence_rate_per_100_000,HDI_index_value,percent_refugee_origin_population,percent_dis_conflict_population,percent_dis_disaster_population,climate_risk_index,overall_vaccine_confidence_percent,peace_index_score
North America,GTM,Guatemala,2017,86,43.28,50.68,0,0.65,0.1,0.01,0.27,69.67,0.8,2.245
Asia,IDN,Indonesia,2017,75,45.85,54.659,8255.18,0.69,0,0,0.14,55.83,0.7699999999999999,1.85
Asia,IND,India,2017,90,42.2,33.6,5652.52,0.64,0,0.01,0.1,22.67,0.9299999999999999,2.541
Europe,IRL,Ireland,2017,92,64.74,62.947,5.87,0.94,NA,NA,0,64.17,0.65,1.408
Europe,ISL,Iceland,2017,92,69.34,93.773,10.76,0.94,NA,NA,0.01,116,0.40000000000000013,1.111
Europe,ITA,Italy,2017,92,60.68,70.144,123.22,0.88,0,NA,0,45.33,0.62,1.737
Asia,JPN,Japan,2017,97,65.12,91.535,0.05,0.91,0,NA,0.02,46.5,0.25999999999999995,1.408
Europe,DEU,Germany,2017,97,69.31,77.261,17.64,0.94,0,NA,0,50.33,0.5399999999999999,1.5
South America,ECU,Ecuador,2017,81,44.67,63.67,0,0.75,0.01,NA,0.02,29.5,0.8,1.948
Africa,ERI,Eritrea,2017,99,26.27,NA,544.22,0.44,NA,NA,NA,116,NA,2.505
Africa,ETH,Ethiopia,2017,65,35.04,20.31,2363.24,0.46,0.08,0.68,0.41,53.83,0.9299999999999999,2.477
Europe,FRA,France,2017,90,66.64,80.18,10.55,0.9,0,NA,0.03,61.17,0.13999999999999996,1.839
Africa,GHA,Ghana,2017,95,45.1,55.407,353.4,0.59,0.06,NA,0.08,82.17,0.85,1.793
Africa,GNB,Guinea-Bissau,2017,86,32.15,42.945,3913.53,0.46,0.1,NA,NA,116,NA,2.309
Africa,GNQ,Equatorial Guinea,2017,30,36.26,71.646,9194.36,0.59,0.01,NA,NA,NA,NA,1.93
Europe,GRC,Greece,2017,97,58.57,78.724,173.25,0.87,0,NA,0.01,39.5,0.76,1.998
North America,HND,Honduras,2017,96,41.26,56.457,0,0.62,0.15,NA,NA,45,0.83,2.185
North America,HTI,Haiti,2017,69,31.4,54.346,0.65,0.5,0.26,NA,0.14,37.33,0.51,2.026
Asia,IRN,Iran (Islamic Republic of),2017,99,50.81,74.394,841.85,0.8,0.15,NA,0.28,47.5,0.6000000000000001,2.364
Asia,JOR,Jordan,2017,93,49.64,90.747,269.09,0.74,0.02,NA,0,116,0.8799999999999999,2.087
Asia,KAZ,Kazakhstan,2017,99,57.63,57.336,0.08,0.8,0.01,NA,0.04,66.83,0.36,1.992
Africa,KEN,Kenya,2017,89,36.9,26.562,1234.87,0.59,0.02,0.05,0.07,53.5,0.8300000000000001,2.336
Europe,DNK,Denmark,2017,97,70.63,87.757,1.07,0.93,NA,NA,NA,116,0.6,1.337
North America,DOM,Dominican Republic,2017,86,47.41,80.277,0,0.74,0,NA,0.66,46.83,0.84,2.114
Africa,DZA,Algeria,2017,88,45.23,72.052,1480.99,0.75,0.01,NA,NA,112.5,0.51,2.201
Europe,EST,Estonia,2017,93,62.38,68.717,1.14,0.87,0.02,NA,NA,116,0.37,1.72
Australia,FJI,Fiji,2017,94,48.77,55.742,4440.84,0.74,0.08,NA,0.04,82.83,NA,NA
Australia,FSM,Micronesia (Federated States of),2017,76,36.45,22.608,122.06,0.63,NA,NA,NA,116,NA,NA
Europe,GBR,United Kingdom of Great Britain and Northern Ireland,2017,92,69.13,83.143,0.63,0.92,0,NA,0.01,87.17,0.66,1.786
Asia,GEO,Georgia,2017,95,57.38,58.231,28.9,0.78,0.17,NA,NA,84.5,0.61,2.084
Africa,GAB,Gabon,2017,63,42.35,88.976,5881.33,0.7,0.01,NA,0,116,0.37,2.052
Africa,GMB,Gambia,2017,90,38.33,60.599,1060.31,0.46,0.66,7.32,0.04,101.5,0.83,2.211
South America,GUY,Guyana,2017,99,42.4,26.538,0,0.65,0.03,NA,0.03,116,NA,2.021
Europe,HRV,Croatia,2017,89,56.03,56.667,2.75,0.83,0.6,NA,0.01,58.17,0.5,1.665
Asia,KOR,Republic of Korea,2017,97,67.27,81.503,0.17,0.9,0,NA,0.01,78.83,0.41,1.823
